A list of words in Alzhedo, the primary language spoken in Calimshan.
 adh  belonging toinferred from 
 akkhani  load-bearing corner piece holding up a dome
 al  article the, of the
 ala  silk
 alimarif  (fem, alimarifa) learned stranger
 amhir  naval commander
 amlak  (pl, amlakkar) police officer
 amlakkhan  police station
 annuv  a symbol or a hand motion used to indicate that ones proper titles have been left unsaid
 asarth almost always shortened to sarth to sauté, to pan-fry with oil or butter.
 askar  archaic soldier military rank private
 bakkal  high priest
 balak  military rank colonel, major general
 brada  silent
 caleph  king
 cestys  spiked knuckles
 chawal  military rank lieutenant
 dahyarif
 (fem, dahyarifa) misplaced stranger
dazar
whip or lash
 deen  pl, archaic coins
 djawal  knight, officer cadet military rank corporal
 drudach  city precinct
 druzir  drudach leader
 dyram  arm
 el  article the, of the
 enaza  spear
 enhir  archaic tribune
 erat  A tower, peak, or isolated height.
 ghadabaan  anger
 gharab  foreigner
 hakkam  archaic governor
 hamaad  war metal
 harakh  slang rebellious/criminal activities (after a famous slave named Harakhti)
 hatori  a sand crocodile
 hydar  lion
 jambiya  dagger
 jhasin  (pl, jhasinni) handsome male concubine
 jhasina  (pl, jhasinnar) beautiful female concubine
 jhasinnadah  harem
 jikholnar  handaxe
 katar  knife
 kearan  newly rich
 Khalahmjiri  place of deadly teeth
 khamarkha  family mausoleum
 khamarnari  tomb of fire
 khanduq  enclosed warehouse/marketplace
 kholnar  axe
 lumal  dung
 mameluk  warrior-slave
 markhout  tomb
 massatyr  archaic baron
 min  blade, sword
 mitalib  (pl, mitalibbar) (wealth-)watcher
 monrativi teshy  first kingdom
 mumijn  archaic military rank lieutenant colonel, colonel
 murabir  warlord
 musadhyar  pl hapless folk
 musar  sergeant
 muzha-dahyarif  idiom shady, misplaced stranger, (i.e., a potential thief)
 muzhajaarnadah  city of shadow
 nadim  club
 nadhari  pl., not-slaves
 nallojal  navy
 narysr  phoenix
 nataf  cord
 nazir  archaic prefect
 pajabbar  pl horns
 palintrike  a hybrid breadfruit&ndashdate
 pasha  guildmaster, clan leader
 qayadin  military rank general, lieutenant general
 qysar  archaic emperor
 qysara  archaic empress
 qysaghanni  imperial guard
 qysanallojal  imperial navy
 rafayam  exalted sir
 rafayar  exalted madam
 ralbahr  admiral
 rif  (fem, rifa) strangerinferred from 
 riqysar  archaic regent emperor
 ruaìs  archaic count
 rysal  naval captain
 sadhara  desert rose
 sabban  city district
 sabbalad  mayor, sabban leader
 sabbaladah  sabbalads villainferred from 
 sadidah  garrison
 sadimmin  pl powerful swords the Calishite army
 sadidrif  (fem, sadidrifa) powerful stranger
 sahrmak  military rank general
 sala  bloody
 sama  queen
 samir  (fem, samira) prince
 saref  archaic centurion
 sarefa  centurions wife
 satrap  archaic provincial governor
 sayedotta  cat-woman
 scimitar  scimitar
 shaani  idiom a poor leader (a reference to an infamous queen in Calishite history)
 shanate  duchy
 sharakh  lowly thief
 shyk  military rank major,
 sikaena  knife
 solbar  bright steel
 sultan  prince, city mayor
 syl  archaic chief (still used as a prefix)
 tabarif  (fem, tabarifa) honorable stranger
 talu  grass
 tamra-mujah  greedy intruder
 trika  a potent, sweet wine made from palintrike
 tuldazrim
 whipping or lashing
 vizar  chancellor, advisor
 wedna  ear
 yadhi  hand
 yanat  estate
 yestaadi  huntress
 yi  from
 yn  son of
 ynamalik  lesser prince
 yr  daughter of
 yrshelem  sing &amp pl coin-collector
 yshah  duke
 yuzas  military rank (non-naval) captain
 zel  shadowinferred from 
CategoryDictionaries
p2nuegwr7r56mqcmkf9pzvmcoidozx9
