A list of words in Draconic, the language of dragons. Some of the lemmas were used only in Tymantheran dialect.
Contents A B C D E F G H I L M N O P R S T U V W
 achthend  () food
 achuak  green
 achuakosj  "wyrmling green", an insult toward green dragons
 aesthyr  female
 aithyas  () dung
 arcaniss  magic
 arcath  spellscale
 aripotvych  Beg your pardon
 arklajus ()  poisonous spider or giant spider
 arux  valley)
 ar(i)-  () my, of mine, of ( -ir)
 arthak dus  () an equivalent to Common "utter moron"
 aryte  war
 arytiss  warrior
 athear  () celestial
 aujir  bronze
 auraj  brass
 aurix  gold
 aussir  white
 austrat  to fly
 axun  yes
 baeshra  animal
 baka  () private
 barb  () leader or high knight
 bejik  savior of
 bensvelk  good
 caesin  forest
 caex  sword
 charir  red ( churir)
 chaorkartel  tavern
 charchuka  a root
 Chaubask vur kepeshk karshoji  () a dragonborn oath, used to express frustration
 chmertehoschta  a Thymari sedative
 clax  take
 darastrix  dragon
 darahar  a pormanteu of dara and har, it is the collective polite term for dragonborn
 darastrixethe  dragonblood
 darasv  half-dragon
 darathric  1. ()"no-dragon", a pormanteu of dara and thric 2. the collective impolite term for dragonborn
 darss  draconic creature
 dartak  to hate
 deshkrouth  () understand?
 djerad ()  () clanhold
 dokaal  "two-leggers", a generic term for humanoids
 durah  to bribe
 earenk  tomorrow
 edar  earth
 er- (ethe-)  () my (used for relationships)
 ekess  () to
 eorikc  year
 erekess  () through
 faessi  coward
 faestir  serve
 farang  () sergeant
 farothai  griddled bread
 fintir  slayer of
 frahr  breathe
 frahraek  breath weapon
 garurt  axe
 geth  quest
 gethrisj  to go
 ghent  () after
 ghik  orc
 ghontix  ogre
 ghoros  () before
 glav  speech or converse, its the word for the Draconic language ( aklave)
 gix  claw
 gixustrat  to disembowel
 grovisv  wood
 har  echo
 haurach  fate
 hengot  () corporal
 henich  1. () unhatched, rotten egg
 hesjing  water
 hlar  roar
 hurthi  fortress
 hysvear  soar
 -i  () can be plural or diminutive
 -ia  () place name suffix
 iejir  blood
 ierikc  century
 ihk  () for
 Io loex  1. () "Ios death"2. a desperate cry used by half-dragons only at the worst times
 ioth  holy
 ir  one
 irisv  heal
 irlym  1. () enemy2. () enemy
 irthir  knowledge
 irthiski  1. () little secret2. () baby (more common variant)
 irthos  secret
 isk  star
 iskirthos  secret star
 ixen  fire
 janklee  blessings
 jhank  hammer
 kaegro  undead
 karif  far
 karshoj  () strong expletive
 karshoj arnahk  () strong expletive, denotes frustration
 karshoji  () strong expletive
 kear  day
 kepeskSpelled as kespek in Peril in Pinebrook.  storm
 kethend  gem
 kiskartchi  an acquired taste
 klajus ()  spider
 klood  nest or colony of spiders
 kosjmyrni  1. () mothers child, as in raising a child of another person 2. () a dragonborn raised by their mothers clan
 korth  danger
 koshqal  () dowry
 kosj  small
 kosjirl  pet
 kosjth  shrink
 kothar  demon
 kuhri  river
 Kuhri Ternhesh  The River of Stone,, the Tymantheran name of the Alamber Sea
 kurik  slaughter
 laraek  weapon
 lauth  few
 legatus  () general
 leirith  near
 levethix  wizard
 levex  enchanted
 lex  word
 lexi  speaker
 litrix  armor
 loex  dead
 loerchik  pain
 loreat  to die
 lorsvek  prophecy
 lovac  old draconic word meaning "faithful friend and lieutenant of a king" in the context of Xorvintaal, means the head servant of a taaldarax
 maekrix  leader
 majak  to give
 malsvir  () evil
 martivir  peace
 maurg  to breed
 Maurg wux gashtik  A half-dragon oath, mixing Draconic with Orcish. Politely translated as “Go and breed with a monster!”
 miirik  song
 molik  skin (hide)
 morikar  () lieutenant
 mrith  with
 munth  normal
 Munthrarechi  () Common tongue
 munthrek  1. human
 nannan  moon
 nar viraka  youre welcome
 nychaki  a plant native to Tymanther
 ner  spear
 noach  wealth
 noachi  1. () little treasure 2. my dear (more common variant)
 nurh  ugly
 nurthul  unfashionable
 nytha  mama (used by newly hatched wyrmlings)
 ocuir  to see ( okhuir)
 okarthel  home
 ominak  name
 onureth  under
 oposs  rain
 orn  silver
 ossalur  travel
 osvith  to flee
 oth  tooth
 othokent  smart
 panjar  a distinctive spice from Tymanther used in sauces
 persvek  in
 petisse  kobold
 pok  stop
 Pokesthajar kharasj  "Stop straddling the chasm". A dragonborn proverb expressing that you should make a decision when faced with a dilemma
 pothachi  () dummy
 pothoc  stupid
 pothoc pig  A common half-dragon insult, mixing Draconic and Common
 potvych  to forgive
 prujedj  something you do that was really hard or time consuming, yet you still did it because of your nature
 qal  () a bride/groom
 qallim  () a marriage agreement
 rach  copper
 rasvim  treasure
 rauhiss  halfling
 renthisj  to speak ( renthizhath)
 rhyaex  meat
 rhyisj  bleed
 rhyvos  cow
 sauriv  eye
 shafaerSpelled as shafear in Peril in Pinebrook.  () on
 shar  () but
 shuk-qalli  () a potential bride/groom
 Si mith ti svolben wux sifmid  I am not what you think
 sjach  shadow
 sjashukri  () subtler, trickier
 sjath vethkeshka  1. () "Still got a shadow" 2. () A common answer to a greeting
 sjek  () if
 sjerit  yet
 sjir  scroll
 ssearth  prolong
 ssej  silent
 ssifisv  to rest
 ssissth  ruler
 sthyarli  () an insult. Can be translated as "idiot"
 sthyr  male
 strix  invigorate
 strixiki  a term for dragonborn usually in a pejorative sense. Can be translated as "little imposters."
 sukriya  thanks, thank you
 sunathaer  cleric
 sveargith  bravery
 svent  arrow to kill
 sverak  darkvision
 svern  () above
 taaldarax  a player of the xorvintaal
 talsch  a resin from the nychaki plant
 tesjendar  "Three and One", an old dragonborn saying
 ternesj  stone ( ternhesh)
 terunt  gnome
 thadarsh  pillage
 thaenar  () major
 thrae  air
 thricSpelled as thrice in Peril in Pinebrook.  no ( thrik)
 Thricanda molik litrem vethiejir darastrix  "Not all scales shield a dragons heart", a dragonborn proverb expressing that things are not always what they seem
 thrikominaki  1. () nameless 2. () clanless (more common variant) Used as an epithet by dragonborn expelled from their clans
 throden  many
 thul  fashionable
 thur  nor
 thurae  student
 thurgix  crippled Used by half-dragons to express that a situation went out of their control
 thurirl  1. () friend2. () friendly
 Thurisvant eth donsjeret  "Every lair has two ways out", a dragonborn proverb expressing that there is also another option when things seem complicated
 thurkear  night
 tiamash  1. () like Tiamat2. () asshole (more common variant)
 tiathar  spawn of Tiamat
 tibur  born as
 toovir  adventurer
 troth  protect
 throtominarr  to improve to build on what your ancestor had done and pay honor to them by improving their work
 tundar  dwarf
 tuor  want
 turalisj  big
 turalisjth  expand
 turasjir  book
 türkhaari  a sort of pickle made from gourds, pepper, charchuka root, lemon, and herbs and spices
 ukris  talk
 ulhar  blue
 Umbraxakar  shadowborn
 unsinti  () beside
 urathear  deity
 usk  iron
 usv  () or
 uth vethindas en thuris  () By my clan and my honor
 ux  platinum
 ux Bahamuti  dragonborn of Bahamut
 vaecaesin  elf
 vaeri  dance to dance
 vaess  arrow
 vaex  bow (weapon)
 valeij  to bleed
 valignat  to burn
 vargach  battle
 vargus  () captain
 vayemniri  1. () Ash-Marked Ones 2. () Thymari dragonborn self-reference
 versel  powerful
 versvesh  strong
 veschik  replenish
 verthicha  mountain ( verthisa)
 veth(i)-  () my (used for items owned)
 vethio ierjir  Commonly translated as "Ios blood". A common exclamation among dragonborn
 Vethisvaerx Bahamut  "Bahamuts Breath", a dragonborn oath. Considered irreverent
 vhir  () below
 vignar  ash ( vayem)
 virlym  thief
 vivex  victory
 vivex prujedj  pyrrhic victory
 vor  learn
 vorastrix  sorcerer
 vorel  beautiful
 Vorelheching Kethendia  1. () The Beautiful Water of Gems2. () the Alamber Sea
 vorellim  you are beautiful
 vrak  child
 vur  () and
 vutha  black
 vyth  steel
 waere  cave
 waeth  bag
 wushzarath sathi?  () an informal greeting. Can be translated as "Whats up, dude?
 wux  () you
 Wux vinult de wer clvini  You hail from the clans
 xorvintaal  the Great Game
 ya  () I
 yochit  salad
 yrev  yellow
 yrisfexirji  a traditional Thymari medicine for hangovers
 yth  we
 zara  () behind
 zyak  () so
