A list of words in the giant language of Jotun.
 alv  elf
 Am  1-person sing subj pron I
 alder  old
 anfal  n attack
 anfel  v attack
 att  eight
 bapart  temple
 bla  blue
 blad  blade
 blod  blood
 blodbok  copper
 boye  bow
 bror  brother
 byrd  birth
 den  3-person sing neut pron it
 deg  2-person pl pron you
 det  dem pron that
 dir  dem adv there
 dod  death
 drofte  dispute
 du  2-person sing pron you
 dun  2-person sing poss pron your
 dverg  dwarf
 engel  ale
 er  3-person sing copula is
 esse  forge
 et  one
 ettin  runt
 fang  v lead
 fange  v take
 fare  danger
 farvel  goodbye
 fem  five
 fer  v (2-person sing, ferst 3-person sing, fers) go
 ferd  journey
 festing  fortress
 fir  four
 fjell  mountain
 fjelljotun  (pl, fjelljotunen) mountain giant
 flod  river
 fode  food
 forbaus  surprise
 forer  chieftain, leader
 forvar  v defend
 galoril  gleam of sunlight
 garasje  garbage
 gared-guur  "slayer from the skies", used by giants and hobgoblins of Anauroch to refer to the manticoreAs hobgoblins also use it, this may instead be from the Goblin dictionary.
 gave  gift
 gi  v give
 gil  (alt sp, gill) gold
 glang  prep above
 grun  green
 gud  god
 gul  yellow
 ha  v  have
 han  3-person sing masc pron he
 haug  hill
 haugjotun  (pl, haugjotunen) hill giant
 harbunad  armor
 heim  home
 hellig  holy, sacred
 helsingen  (slang, hels) greetings
 hest  horse
 het  hot
 hild  mother
 hjelm  helmet
 hjerte  heart
 hun  3-person sing fem pron she
 hund  hundred
 huslyd  (pl, huslyder) family
 hval  whale
 hvalspyd  whale spear
 i  dem pron this
 ild  fire
 ildjotun  (pl, ildjotunen) fire giant
 ise  ice
 isejotun  (pl, isejotunen) frost giant
 jarl  Jotunise dialect tribal leader
 jertrut  transgender
 jotun  (pl, jotunen) giant
 Jotunbrud  collective term for all true giants
 kalt  cold
 kappe  cloak
 kjott  meat
 kom  v come
 kong  king
 kongerike  kingdom
 krig  war
 krigga  warrior
 kue  cow
 kunst  art
 kvit  white
 lang  Far
 Levendehule  living cave
 linje  ancestry, lineage
 linjenstein  ancestors of stone
 liv  life
 maat  good, holy, honorable
 magere  mage
 magisk  magic
 maug  evil, unholy, dishonorable
 mazîn  priest
 mazînmagisk  divine magic
 meg  1-person sing obj pron me 1-person sing poss pron my
 minutt  minute
 mynt  money
 nar  near
 nede  down
 ni  nine
 nom  n name
 nul  nothing
 oks  axe
 opp  prep up
 ordning  order
 Ostoria  the seat belonging to a father
 otte  fear
 overin  defeat
 paart  v honor, respect n honor
 pil  arrow
 platina  platinum
 prakt  bravery
 rad  rank
 rang  n honor
 rever  queller
 rod  red
 rom  room, chamber
 sal  saga
 seir  victory
 sek  six
 seng  bed
 sengrom  bedroom
 sju  seven
 skald  Jotunise dialect bard
 skat  treasure
 skilt  rune
 skiltgravr  rune cutters
 skod  fog
 skodjotun  (pl, skodjotunen) fog giant
 skold  shield
 skye  cloud
 skyejotun  (pl, skyejotunen) cloud giant
 slag  battle
 solv  silver
 soster  sister
 sort  black
 spyd  spear
 stein  stone
 steinjotun  (pl, steinjotunen) stone giant
 stig  light
 stomm  tribe
 storkokk  Jotunhaug dialect master eater
 stormazîn  high priest
 stot  second
 strev  effort
 su  1-person pl poss pron our
 sverd  sword
 tanke  thought
 tapperhot  Jotunise dialect courage, mettle, machismo
 tenner  teeth
 tid  hour
 tier  ten
 to  two
 tosk  fool
 traktat  treaty
 tre  three
 treke  trail
 trut  truth
 tusen  thousand
 tuv  thief
 ubuden  intruder
 uvar  storm
 uvarjotun  (pl, uvarjotunen) storm giant
 uven  (pl, uvenir) enemy
 vader  father
 vaer  weather
 val  prep for
 van  human
 venn  friend
 vind  wind
 vonin  titan
 weirdner  Jotunise and Jotunild dialects weird worker, i.e., a wizard or runecaster
 wer  inter pron who
 wie  inter pron where
 wo  inter pron what
 wyrm  dragon
 zo  prep to
