This Lidahan dictionary is a list of terms from Lidahan.
 aba  order or command
 abadi  eternal
 abang  older brother
 acbir  the end or finish
 adik  younger sibling
 agung  grand or noble
 aib  shame or disgrace
 ajar  to teach
 aman  secure
 anak  child
 angsa  geese
 anjaman  woven
 api  fire or flame
 asrama  garrison
 atas  top or advanced
 bahaiya  danger
 bahasa  languages
 baik  good
 bakar  burn
 baling  turn or revolve
 balasan  revenge
 banjir  flood or overflow
 banyak  much
 batas  boundary or border
 batu  stone or rock
 bawa  bottom
 bekas tuah  ancient
 bekuk  arrest or seize
 belajar  study or research
 belut  eel
 bengkok  bend
 berkuda  cavalry
 besi  iron or steel
 binatang  animals
 biru  blue
 buaja  crocodile
 buih  foam
 bukit  hill
 bumi  earth
 bumi gerak  earthquake
 bunga api  spark
 burung  bird
 buta  blind
 chadam  servant
 chasumat  feud
 churchi  to steal
 daging  meat
 daja  deceit or trick
 dalam  inside
 darah  blood
 dasar  simple or basic knowledge
 dekat  nearby
 dendam  grudge
 desa  village
 diatas  above
 dibawa  below
 diblakan  behind
 dimuka  in front
 dingin  cold
 diuku  frog
 emas  gold
 empang  to block or barricade
 enak  tasty
 erang  groan
 faham  understand
 fikir  think
 fitnah  slander
 gaib  invisible
 genas  savage
 ganti  change
 garam  salt
 gedung  great hall or building
 gelap  dark
 gereja  church or temple
 gerhana  eclipse
 gertak  threaten
 gigit  teeth
 gila  crazy or insane
 goyang  sway or shake
 gua  cave
 gunung  mountain
 habis  finished
 hadiah  gift
 hajat  wish
 hakim  judge
 hampir  almost
 hantu  ghost
 hanya  only
 harga   price
 harimau  tiger
 hijau  green
 hitung  count
 hormat  honor
 hujan  rain
 hukum  law or punishment
 ikan  fish
 ikut  accompany
 ilmu  knowledge
 ingat  remember
 intai  to spy
 intan  diamond
 isi  contents
 istimewah  special
 istri  wife
 jahat  evil
 jalan  walk
 jantung  heart
 jatoh  fall
 jelek  bad, broken or spoiled
 kabus  misty
 kabut  fog
 kaget  startled
 kanan  right
 kayu  wood
 keadilan  justice
 kelereng  marble
 keluh  sighing
 kemati  dying
 kepala  head or leader
 kera  monkey
 kesasar  lost
 ketcheel  small or miniature
 kilap  gleaming
 kiri   left
 kobar  flaring
 kuda  horse
 kumandang  echo
 kuning  yellow
 kutuk  cursed
 lajang  float
 langsung  direct
 lapar  hungry
 larang  forbidden
 lautan  ocean
 ledak  explode
 leher  neck
 lembing  quick
 lihat  corrupted
 lima  pyramid or temple
 magi  morning
 maha  great
 mahligwi  palace
 makan  eat
 malam  night
 malas  lazy
 masak  to cook
 maskukan  entrance
 mata  eye
 maut  death
 medan  plains
 membakar  burning
 menipu  dream or delusion
 menuap  steam
 merah  red
 merebus  boil
 miring  silent or slope
 muntjul  spring (water)
 musuh  enemy
 nafas  breath
 naga  dragon
 nanti  later
 ngeri  dreadful
 obor  torch
 ocheh  gossip
 odoh  ugly
 olah raga  sports or contests
 olak  whirling
 olokolok  ridicule
 orang  person
 padang  ceremonial field
 panas  hot
 panen  harvest
 panjang  long
 pantai  beach
 pesar  market
 pasir  sand
 pedang  sword
 pejakit  disease
 pekuburan  cemetery
 pelan  slow
 pelesit  vampire
 pelosok  remote
 penchuri  thief
 pendam  concealed
 pendek  short
 pengkawal  watchman or witness
 penjaga  guard
 penting  important
 penuh  full
 perahu  boat or canoe
 perang  war
 perpustakaan  library or archives
 pertama  first
 pertanian  questions
 putih  white
 rahasia  secret
 rajawali  eagle
 rangka  skeleton
 rapat  meeting
 ratjun  poison
 ratna  jewel
 raung  roar
 rendah  low
 rendam  submerge
 robek   to tear
 rompak  piracy
 rumah  house
 runtuh  collapse or cave in
 sakti  holy
 salju  snow
 samba1  chilies or hot sauce
 sampai  until
 sampar  plague or pestilence
 sandiwara  theater or drama
 sarang lebah  beehive
 sejaraan  history
 semerak  splendor
 semerbak  fragrant
 sendi  foundation
 senja  twilight or dusk
 sentosa  safe or peaceful
 sepusang  pair
 serampang  harpoon
 setiap  each or every
 sehir  magic
 simpang  crossing
 siput  snail
 suami  husband
 su-rai  prison
 tajam  sharp
 takbar  surrender
 takut  frightened
 takwa  god-fearing
 tambang  mine or mining
 tangan  hand
 tang-ga  staircase
 tangkap  catch or trap
 taring  fang
 tebing  riverbank
 tebuh  sugar cane
 teman  friend
 tembaga  copper
 tembak  shoot
 tempat  place
 tenaga  strength
 tengah  center
 tengkorak  skull
 tentara  army
 tentu  certain
 terachir  last or final
 terbang  fly
 tertawa  laughing
 tidak  no or not
 tinggi  high or tall
 tolong  help or aid
 tuah  old
 uang  money
 ukur  measure
 ular  snake
 untung  luck
 u-panah  bow and arrow
 usaha  effort
 utang  debt
 wajar  natural or proper
 wakil  assistant or deputy
 waktu  time
 warung  store or small business
 warung makan  restaurant
 zamrud  emerald
 zirah  armor
CategoryHuman languages
CategoryDictionaries
78qyyr27l04pk443eyzc5720v9ngldm
